rank_data,instance_id,axis,qerr_data,plan_change_data,x1_data,x2_data,source_root_data,source_label_data,rank_selectivity,qerr_selectivity,plan_change_selectivity,x1_selectivity,x2_selectivity,source_root_selectivity,source_label_selectivity,qerr_delta,qerr_ratio,prefer,absolute_improvement,relative_improvement,plan_change_agreement
28,154,2,1.336957,False,7555.733333,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,42,1.187882,False,7270.635000,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.149075,1.125496,selectivity-space sampling,0.149075,0.125496,True
29,18,1,1.326439,False,1445.766667,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,1,1.466096,False,1770.717500,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.139657,0.904742,data-space sampling,0.139657,0.105287,True
30,164,2,1.325786,True,8777.726667,35583.833333,gt_results_sf1_qt8_10x10_m0,data-space sampling,88,1.107085,False,8347.116500,25930.880000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.218701,1.197546,selectivity-space sampling,0.218701,0.197546,False
31,173,2,1.307209,True,9999.720000,35583.833333,gt_results_sf1_qt8_10x10_m0,data-space sampling,35,1.213122,False,9449.346500,25930.880000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.094087,1.077558,selectivity-space sampling,0.094087,0.077558,False
32,16,1,1.293686,False,1445.766667,70266.666667,gt_results_sf1_qt8_10x10_m0,data-space sampling,8,1.332263,False,1770.717500,47521.750000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.038577,0.971044,data-space sampling,0.038577,0.029819,True
33,145,2,1.292582,False,6333.740000,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,85,1.109378,False,6136.231500,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.183203,1.165141,selectivity-space sampling,0.183203,0.165141,True
34,37,1,1.292273,True,3889.753333,81827.611111,gt_results_sf1_qt8_10x10_m0,data-space sampling,102,1.089469,False,3963.788000,55158.940000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.202804,1.186150,selectivity-space sampling,0.202804,0.186150,False
35,15,1,1.285574,False,1445.766667,58705.722222,gt_results_sf1_qt8_10x10_m0,data-space sampling,61,1.151988,False,1770.717500,40321.260000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.133586,1.115962,selectivity-space sampling,0.133586,0.115962,True
36,39,1,1.269242,True,3889.753333,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,7,1.332369,True,3963.788000,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.063126,0.952621,data-space sampling,0.063126,0.049736,True
37,156,2,1.265696,True,7555.733333,47144.777778,gt_results_sf1_qt8_10x10_m0,data-space sampling,71,1.133904,False,7270.635000,33132.840000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.131792,1.116229,selectivity-space sampling,0.131792,0.116229,False
38,29,1,1.264070,False,2667.760000,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,43,1.184027,False,2890.214500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.080042,1.067602,selectivity-space sampling,0.080042,0.067602,True
39,147,2,1.261308,True,6333.740000,47144.777778,gt_results_sf1_qt8_10x10_m0,data-space sampling,74,1.132671,False,6136.231500,33132.840000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.128637,1.113570,selectivity-space sampling,0.128637,0.113570,False
40,155,2,1.258426,False,7555.733333,35583.833333,gt_results_sf1_qt8_10x10_m0,data-space sampling,33,1.221584,False,7270.635000,25930.880000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.036842,1.030159,selectivity-space sampling,0.036842,0.030159,True
41,95,2,1.255644,False,-998.220000,70266.666667,gt_results_sf1_qt8_10x10_m0,data-space sampling,171,1.012526,False,-453.163000,47521.750000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.243117,1.240110,selectivity-space sampling,0.243117,0.240110,True
42,38,1,1.255477,True,3889.753333,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,90,1.104035,False,3963.788000,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.151441,1.137171,selectivity-space sampling,0.151441,0.137171,False
